Wavelength (nm),n_o,k_o,n_e,k_e
399.8868710000,2.1450508704,1.2620449035,2.1249036484,1.9070713473
404.8868710000,2.1825277315,1.2489760898,2.1420301914,1.9012559256
409.8868710000,2.2139442681,1.2355258445,2.1587610344,1.8965770319
414.8868710000,2.2399821267,1.2218214294,2.1748736164,1.8928224681
419.8868710000,2.2612553829,1.2079745031,2.1901782891,1.8898046383
424.8868710000,2.2783177509,1.1940829359,2.2045142283,1.8873577310
429.8868710000,2.2916685713,1.1802323139,2.2177460478,1.8853353826
434.8868710000,2.3017580096,1.1664972425,2.2297608719,1.8836086525
439.8868710000,2.3089921069,1.1529425931,2.2404655664,1.8820640812
444.8868710000,2.3137368642,1.1396245168,2.2497844824,1.8806021148
449.8868710000,2.3163222964,1.1265914313,2.2576572857,1.8791355635
454.8868710000,2.3170458273,1.1138848490,2.2640371412,1.8775883119
459.8868710000,2.3161754151,1.1015401310,2.2688890661,1.8758941396
464.8868710000,2.3139524509,1.0895871770,2.2721884395,1.8739956418
469.8868710000,2.3105941722,1.0780510045,2.2739197525,1.8718433237
474.8868710000,2.3062960934,1.0669524047,2.2740754122,1.8693946360
479.8868710000,2.3012224329,1.0563086510,2.2726520212,1.8666130390
484.8868710000,2.2954461538,1.0460990709,2.2696347742,1.8634972777
489.8868710000,2.2890043544,1.0360549213,2.2650093948,1.8602617106
494.8868710000,2.2819322693,1.0258165581,2.2587691454,1.8572009792
499.8868710000,2.2742634840,1.0150666523,2.2509138803,1.8545752758
504.8868710000,2.2660300153,1.0035262524,2.2414492400,1.8526135377
509.8868710000,2.2572612640,0.9909507988,2.2303858391,1.8515166809
514.8868710000,2.2479604252,0.9771268443,2.2177378415,1.8514602423
519.8868710000,2.2376484005,0.9618692131,2.2035074601,1.8525968630
524.8868710000,2.2254910639,0.9451119256,2.1876885715,1.8550542486
529.8868710000,2.2107412236,0.9272475388,2.1702807000,1.8589213113
534.8868710000,2.1927401975,0.9087619986,2.1512889172,1.8642668812
539.8868710000,2.1709155573,0.8900912048,2.1307256486,1.8711478325
544.8868710000,2.1452255142,0.8716257783,2.1088379973,1.8796103268
549.8868710000,2.1163909440,0.8537150107,2.0862276206,1.8896908895
554.8868710000,2.0851312430,0.8366689643,2.0634682699,1.9014365527
559.8868710000,2.0520967989,0.8207467789,2.0410736737,1.9151038294
564.8868710000,2.0171067690,0.8061673799,2.0189826851,1.9310571637
569.8868710000,1.9785783998,0.7931244327,1.9961740518,1.9496185499
574.8868710000,1.9349274672,0.7818725173,1.9716163835,1.9707222113
579.8868710000,1.8848591736,0.7732401589,1.9444885797,1.9919424059
584.8868710000,1.8303374771,0.7684091388,1.9167895975,2.0142892695
589.8868710000,1.7761012499,0.7685926879,1.8928829139,2.0429332015
594.8868710000,1.7241624957,0.7734714738,1.8741428951,2.0772161144
599.8868710000,1.6744586822,0.7814455747,1.8597213646,2.1109943694
604.8868710000,1.6259700976,0.7941883304,1.8479194316,2.1440439875
609.8868710000,1.5773365708,0.8120278113,1.8368281508,2.1775252317
614.8868710000,1.5292036921,0.8334462000,1.8269666557,2.2109786848
619.8868710000,1.4830804887,0.8570764007,1.8198851352,2.2440083117
624.8868710000,1.4395967053,0.8817946697,1.8157167044,2.2762868650
629.8868710000,1.3987209681,0.9073037733,1.8135443040,2.3077038094
634.8868710000,1.3603816977,0.9336169863,1.8126305688,2.3382332223
639.8868710000,1.3244244090,0.9607447554,1.8127160514,2.3678532157
644.8868710000,1.2906846226,0.9886943520,1.8136570730,2.3965454162
649.8868710000,1.2590083636,1.0174703692,1.8153209334,2.4242947326
654.8868710000,1.2292514297,1.0470748081,1.8175850438,2.4510891490
659.8868710000,1.2012787670,1.0774949583,1.8203363945,2.4769258579
664.8868710000,1.1749638683,1.1085922206,1.8234708620,2.5018686179
669.8868710000,1.1501882935,1.1401700765,1.8268925519,2.5260124867
674.8868710000,1.1268350783,1.1720471739,1.8305152377,2.5494459222
679.8868710000,1.1047666722,1.2040567098,1.8342688329,2.5722509945
684.8868710000,1.0838455513,1.2360455565,1.8380920471,2.5945037505
689.8868710000,1.0639439180,1.2678732065,1.8419285742,2.6162746398
694.8868710000,1.0449430173,1.2994106415,1.8457267694,2.6376288587
699.8868710000,1.0267325347,1.3305649698,1.8494393314,2.6586293033
704.8868710000,1.0092099958,1.3614229975,1.8530229791,2.6793516948
709.8868710000,0.9922847469,1.3921439180,1.8564395626,2.6998739470
714.8868710000,0.9759066558,1.4228740312,1.8596647840,2.7202678156
719.8868710000,0.9600448525,1.4537474472,1.8626815472,2.7405992843
724.8868710000,0.9446703016,1.4848869985,1.8654744893,2.7609289681
729.8868710000,0.9297555917,1.5164050317,1.8680298228,2.7813124896
734.8868710000,0.9152748514,1.5484040839,1.8703352295,2.8018007980
739.8868710000,0.9012036536,1.5809776117,1.8723797481,2.8224405115
744.8868710000,0.8875189414,1.6142105929,1.8741536836,2.8432741936
749.8868710000,0.8741988964,1.6481799321,1.8756484777,2.8643406456
754.8868710000,0.8612228572,1.6829408795,1.8768566181,2.8856755751
759.8868710000,0.8486186964,1.7184281840,1.8778045277,2.9073146991
764.8868710000,0.8365233407,1.7545263509,1.8785945883,2.9292919672
769.8868710000,0.8250806909,1.7911274646,1.8793341827,2.9516380953
774.8868710000,0.8144226974,1.8281306948,1.8801225204,2.9743807996
779.8868710000,0.8046703343,1.8654419391,1.8810512933,2.9975450043
784.8868710000,0.7959342644,1.9029734504,1.8822051106,3.0211530023
789.8868710000,0.7883110800,1.9406442212,1.8836583094,3.0452224510
794.8868710000,0.7818183468,1.9783912490,1.8854215881,3.0697343200
799.8868710000,0.7764133982,2.0161659617,1.8874572486,3.0946419958
804.8868710000,0.7720559372,2.0539232938,1.8897424349,3.1199009318
809.8868710000,0.7687154319,2.0916212599,1.8923111111,3.1454691607
814.8868710000,0.7663644019,2.1292207562,1.8952092139,3.1713071642
819.8868710000,0.7649760387,2.1666854037,1.8984789429,3.1973777557
824.8868710000,0.7645241853,2.2039813763,1.9021589939,3.2236459414
829.8868710000,0.7649833211,2.2410772584,1.9062847741,3.2500788060
834.8868710000,0.7663285786,2.2779439037,1.9108886466,3.2766453991
839.8868710000,0.7685280815,2.3145542961,1.9159902828,3.3033166226
844.8868710000,0.7715280790,2.3508834350,1.9215776976,3.3300651379
849.8868710000,0.7752731820,2.3869082073,1.9276335174,3.3568652624
854.8868710000,0.7797108614,2.4226072832,1.9341409401,3.3836928840
859.8868710000,0.7847913208,2.4579610099,1.9410837403,3.4105253755
864.8868710000,0.7904673482,2.4929513102,1.9484462431,3.4373415109
869.8868710000,0.7966941953,2.5275615958,1.9562133056,3.4641213947
874.8868710000,0.8034294410,2.5617766729,1.9643702943,3.4908463845
879.8868710000,0.8106328811,2.5955826649,1.9729030685,3.5174990269
884.8868710000,0.8182664151,2.6289669325,1.9817979617,3.5440629926
889.8868710000,0.8262939353,2.6619179988,1.9910417637,3.5705230132
894.8868710000,0.8346812359,2.6944254846,2.0006217055,3.5968648282
899.8868710000,0.8433959077,2.7264800380,2.0105254418,3.6230751261
904.8868710000,0.8524072552,2.7580732760,2.0207410368,3.6491414966
909.8868710000,0.8616862088,2.7891977263,2.0312569495,3.6750523802
914.8868710000,0.8712052412,2.8198467699,2.0420620186,3.7007970219
919.8868710000,0.8809382964,2.8500145935,2.0531454508,3.7263654297
924.8868710000,0.8908607102,2.8796961366,2.0644968060,3.7517483308
929.8868710000,0.9009491457,2.9088870482,2.0761059857,3.7769371345
934.8868710000,0.9111815266,2.9375836423,2.0879632216,3.8019238949
939.8868710000,0.9215369720,2.9657828562,2.1000590624,3.8267012746
944.8868710000,0.9319957428,2.9934822137,2.1123843646,3.8512625140
949.8868710000,0.9425391797,3.0206797862,2.1249302805,3.8756013974
954.8868710000,0.9531496536,3.0473741596,2.1376882486,3.8997122250
959.8868710000,0.9638105147,3.0735644018,2.1506499838,3.9235897845
964.8868710000,0.9745060414,3.0992500306,2.1638074671,3.9472293231
969.8868710000,0.9852213992,3.1244309864,2.1771529379,3.9706265244
974.8868710000,0.9959425930,3.1491076034,2.1906788838,3.9937774823
979.8868710000,1.0066564284,3.1732805842,2.2043780331,4.0166786798
984.8868710000,1.0173504720,3.1969509755,2.2182433463,4.0393269668
989.8868710000,1.0280129788,3.2201201297,2.2322679975,4.0617195234
